"g","network","site","mean_final_mut_mat","mutualism","m_A","m_B","alpha","phi","theta_A","theta_B"
0.025,"FP_Galetti&Pizo_1996_bin","B",0.796890782303315,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Jordano_1985_bin","A",0.797617961904882,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Jordano_1985_bin","B",0.791642608799323,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Mack&Wright_1996_bin","A",0.822963944692208,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Mack&Wright_1996_bin","B",0.826350551742744,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Sorensen_1981_bin","A",0.808231552747568,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Sorensen_1981_bin","B",0.805124375409179,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Arroyo_etal_1982_1_bin","A",0.794750966808424,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Arroyo_etal_1982_1_bin","B",0.792636794663476,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Barrett&Helenurm_1987_bin","A",0.809698748277195,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Barrett&Helenurm_1987_bin","B",0.807575732215676,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Dicks_etal_2002_SH_bin","A",0.80271105605864,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Dicks_etal_2002_SH_bin","B",0.802108294023805,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Elberling&Olesen_1999_bin","A",0.798797715416104,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Elberling&Olesen_1999_bin","B",0.796717084697145,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Hocking_1968_bin","A",0.802417476528531,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Hocking_1968_bin","B",0.797812194559127,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Kaiser-Bunbury_etal_2009_bin","A",0.785865374484366,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Kaiser-Bunbury_etal_2009_bin","B",0.784106051940645,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Medan_etal_2002_RB_bin","A",0.817561279373422,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Medan_etal_2002_RB_bin","B",0.814592225846128,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Ollerton_etal_2003_bin","A",0.804660297873562,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Ollerton_etal_2003_bin","B",0.797841432338816,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Ramirez&Brito_1992_bin","A",0.808548605868825,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Ramirez&Brito_1992_bin","B",0.808016416436179,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Santos_etal_2010_bin","A",0.794213930600326,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Santos_etal_2010_bin","B",0.791399734487311,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Vazquez_etal_2002_ArroyoGoye_bin","A",0.824540440325879,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Vazquez_etal_2002_ArroyoGoye_bin","B",0.822107890874957,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Vazquez_etal_2002_CerroLopez_bin","A",0.825540450873752,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Vazquez_etal_2002_CerroLopez_bin","B",0.822784768599852,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Vazquez_etal_2002_Mascardi(c)_bin","A",0.83043901888477,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"PP_Vazquez_etal_2002_Mascardi(c)_bin","B",0.826350329748934,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AE_Rico-Gray_benito_bin","A",0.814295483671822,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AE_Rico-Gray_benito_bin","B",0.812084710276831,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AE_Rico-Gray_mancha_bin","A",0.808125469754173,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AE_Rico-Gray_mancha_bin","B",0.806425855797817,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
